MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02005782,"North Richmondshire",346,486.0,1354.66,38.724,2,0.00
E02005783,"Richmond Town",233,156.0,1586.08,33.521,0,0.00
E02005784,"Catterick & Brompton-on-Swale",286,95.0,905.16,12.603,0,0.00
E02005785,"Catterick Garrison & Colburn",209,156.0,3332.69,1.094,0,0.00
E02005786,"Upper Dales",59,258.0,2767.34,27.086,1,0.00
E02005787,"Leyburn",122,363.0,3741.12,28.425,1,0.00
