E02001827	Hill Hook
E02001828	Four Oaks
E02001829	Little Sutton & Roughley
E02001830	Sutton Coldfield North & Park
E02001831	Reddicap Heath
E02001832	Rectory Park & New Hall Valley
E02001833	Kingstanding North
E02001834	Old Oscott
E02001835	Sutton Coldfield South & Central
E02001836	New Oscott
E02001837	Kingstanding South East
E02001838	Walmley
E02001839	Queslett
E02001840	Perry Common - College Road
E02001841	Wylde Green
E02001842	Perry Beeches West
E02001843	Kingstanding South West
E02001844	Chester Road
E02001845	Perry Beeches East
E02001846	Short Heath
E02001847	Minworth
E02001848	Upper Witton
E02001849	Erdington Town
E02001850	Perry Barr & South Hamstead
E02001851	Pype Hayes Park
E02001852	Stockland Green - Marsh Hill
E02001854	Birches Green
E02001855	Castle Vale
E02001856	Brookvale
E02001857	Gravelly Hill & South Erdington
E02001858	Handsworth East
E02001859	Birchfield East
E02001860	Handsworth West
E02001861	Birchfield West
E02001862	Middlemore
E02001863	Aston Park
E02001864	Bromford
E02001865	Handsworth South
E02001866	Lozells West
E02001867	Lozells East
E02001868	Hodge Hill
E02001869	Nechells
E02001870	Ward End & Bromford West
E02001871	Buckland End
E02001872	Shard End & Kingfisher
E02001873	Winson Green & Gib Heath
E02001874	Washwood Heath
E02001875	Hockley & Jewellery Quarter
E02001876	North Central & Dartmouth Circus
E02001877	Saltley East
E02001878	Saltley West
E02001879	Summerfield
E02001880	Glebe Farm
E02001881	Belchers Lane & Eastfield Road
E02001882	Stechford
E02001883	Kitts Green
E02001884	Bordesley Green North
E02001886	Rotton Park
E02001888	Kent's Moat
E02001889	Little Bromwich
E02001890	Edgbaston North
E02001892	Yardley Fields
E02001893	Yardley
E02001895	Sheldon North
E02001896	Small Heath Park
E02001897	Sparkbrook North
E02001898	Lyndon Green
E02001899	Harborne West
E02001900	Five Ways South & Calthorpe Park
E02001901	Harborne East
E02001902	Yardley South
E02001903	Sparkbrook South
E02001904	Hay Mills & Tyseley
E02001905	Edgbaston South & University
E02001906	Quinton Ridgacre
E02001907	Sheldon South
E02001908	Sparkhill North
E02001909	Balsall Heath East
