MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres,supermarket,warehouse,brownfield
E02004600,"Swindon Village & Wyman's Brook",0,422.0,2933.90,14.135,1,0.00,15053.59,0.00,0
E02004601,"Prestbury & Racecourse",0,485.0,4865.68,17.829,2,0.00,0.00,0.00,0
E02004602,"Springbank",0,290.0,442.96,13.593,0,0.00,0.00,0.00,0
E02004603,"St Paul's",0,1326.0,2366.76,92.666,1,0.00,3187.39,0.00,0
E02004604,"Arle & Hesters Way",0,290.0,459.76,19.571,0,0.00,0.00,0.00,0
E02004605,"Oakley",0,353.0,780.15,16.581,0,0.00,0.00,0.00,0
E02004606,"Alstone & St Mark's",0,422.0,1565.12,21.278,4,0.00,8517.65,0.00,0
E02004607,"Pittville & Fairview",0,775.0,1704.89,39.126,1,0.00,306.95,0.00,0
E02004608,"Lansdown & Montpellier",0,973.0,4343.33,37.714,2,0.00,7516.18,0.00,0
E02004609,"Benhall & The Reddings",0,290.0,6597.70,14.803,1,0.00,9166.06,0.00,0
E02004610,"The Park & Warden Hill",0,669.0,1212.47,21.459,0,0.00,0.00,0.00,0
E02004611,"Battledown & Charlton Kings",0,904.0,1096.48,56.149,1,0.00,5525.70,0.00,0
E02004612,"Hatherley",0,537.0,1106.12,34.309,0,0.00,5709.75,0.00,0
E02004613,"Charlton Park",0,600.0,888.13,42.826,1,0.00,0.00,0.00,0
E02004614,"Leckhampton",0,537.0,236.09,36.694,0,0.00,0.00,4365.85,0
