MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,grid-capacity,distribution-centres,supermarket,warehouse,brownfield
E02004164,"Bampton",0,541.0,615.58,21.940,0,0,0.00,0.00,0.00,4.11
E02004165,"Tiverton North & Outer",0,153.0,1157.09,14.120,0,0,0.00,0.00,0.00,0
E02004166,"Uffculme & Hemyock",0,525.0,522.33,20.789,0,0,0.00,0.00,1730.86,0.79
E02004167,"Tiverton East",0,153.0,1475.81,12.793,3,0,0.00,7037.49,0.00,5.25
E02004168,"Tiverton West",0,153.0,1538.91,20.042,2,0,0.00,4738.06,0.00,0.4
E02004169,"Willand",0,300.0,1454.29,16.604,1,0,0.00,715.58,0.00,0.45
E02004170,"Cullompton",0,147.0,2543.64,23.629,3,0,0.00,7349.05,0.00,2.82
E02004171,"Bradninch",0,641.0,1729.01,26.261,0,0,0.00,0.00,0.00,1.21
E02004172,"Bow",0,401.0,373.56,17.136,0,0,0.00,0.00,0.00,0
E02004173,"Morchard Bishop",0,633.0,435.01,20.731,0,0,0.00,0.00,0.00,0
E02004174,"Crediton",0,128.0,1643.04,21.456,2,0,0.00,7979.17,0.00,0.29
